index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://agrosiaa.com/uploads/userdata/seller/eb7c7ee9f5e7652f0f11a72dc20cf75469b9591c/product_images/857059326594b8c13b53e78162f706c4b0aee7e1b877594746.png,https://agrosiaa.com/products/detail/katyayani-prozol-boost-fungicide-250-ml-propiconazole-25-ec-1671553775?srsltid=AfmBOopVZUq2GLxTUZ21xlYoc41eiGFn_vFJ8BI0fC7KDVx7cP_XW8R-
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://agriplexindia.com/cdn/shop/files/ALL_IN_ONE_FUNGICIDE.jpg?v=1746787327,https://agriplexindia.com/products/katyayani_all_in_one_organic_fungicide?variant=50383026848038&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorlyc2tD1qEZjhoFAu0kgBuRopeFIHl_cD12fvK-gR1QQQhuaJXiFQ
3,Apple___healthy,Organic plant booster liquid fertilizer,https://m.media-amazon.com/images/I/61rSFtfiYEL._SY500_.jpg,https://www.amazon.in/Organic-booster-fertilizer-flowering-vegetables/dp/B0DJH1SBRK?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1Y5YS76MCZ5T6
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://lazygardener.in/cdn/shop/products/greenstix-all-purpose-plant-food-sticks-fertilizer-sticks-plant-food-sticks-lazygardener-821257.jpg?v=1695147465&width=1800,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://www.desertcart.in/products/356494410-plantic-organic-liquid-fertilizer-for-flowering-plants-blooming-flower-for-all-types-of-flowers-fruits-plants-bloom-drop-250-ml
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://www.bighaat.com/products/indofil-m-45-fungicide?variant=39379808321559&srsltid=AfmBOoqQuB8q9UufwJIQ_xhEgeew5B4H5WH3rqEsSYLDIgkhxR1dRd04J64
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://www.kisanshop.in/s/65f83b39d13b931b1c1f1a9b/66adfb7310656c00610cd36c/amistar-fungicide-syngenta-_-buy-online-rs-130-_-bighaat-2--640x640.jpg,https://www.kisanshop.in/en/product/nacl-combi-plus-fungicide?srsltid=AfmBOoqsJtUCNoEVi7kDX5gFpZ0y9o1lrGnpZsxiSjVWMEhr4mIhdxiT
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://m.media-amazon.com/images/I/51VzsRSU+wL._SY300_SX300_.jpg,https://www.amazon.in/Biomass-Lab-Sampoorn-Multipurpose-Fertilizer/dp/B07W8N4BVH
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://m.media-amazon.com/images/I/71S1sdZMOdL._SL1500_.jpg,https://www.amazon.in/Southern-Ag-Captan-50-Fungicide/dp/B000YHB4HW
